Year,Limits,Fifths
1991,"68,899",third
1990,"69,729",third
1989,"71,450",third
1988,"70,683",third
1987,"69,945",third
1986,"68,777",third
1985,"66,658",third
1984,"65,182",third
1983,"63,300",third
1982,"63,085",third
1981,"63,579",third
1980,"64,483",third
1979,"66,705",third
1978,"65,998",third
1977,"64,230",third
1976,"63,630",third
1975,"62,203",third
1974,"63,237",third
1973,"65,326",third
1972,"63,966",third
1971,"60,923",third
1970,"61,302",third
1969,"62,100",third
1968,"59,043",third
1967,"56,419",third
2020,"141,110",fourth
2019,"144,280",fourth
2018,"134,008",fourth
2017,"133,953",fourth
2016,"130,538",fourth
2015,"127,834",fourth
2014,"122,866",fourth
2013,"120,282",fourth
2012,"117,575",fourth
2011,"117,165",fourth
2010,"119,011",fourth
2009,"120,939",fourth
2008,"120,808",fourth
2007,"125,148",fourth
2006,"124,877",fourth
2005,"121,847",fourth
2004,"120,888",fourth
2003,"122,553",fourth
2002,"121,222",fourth
2001,"122,377",fourth
2000,"123,247",fourth
1999,"123,480",fourth
1998,"119,374",fourth
1997,"115,344",fourth
1996,"112,094",fourth
1995,"110,188",fourth
1994,"108,886",fourth
1993,"106,665",fourth
1992,"105,196",fourth
1991,"105,493",fourth
1990,"106,337",fourth
1989,"108,559",fourth
1988,"106,730",fourth
1987,"105,711",fourth
1986,"103,964",fourth
1985,"100,253",fourth
1984,"98,465",fourth
1983,"95,662",fourth
1982,"94,072",fourth
1981,"93,998",fourth
1980,"94,415",fourth
1979,"96,717",fourth
1978,"95,986",fourth
1977,"93,642",fourth
1976,"91,546",fourth
1975,"89,312",fourth
1974,"91,778",fourth
1973,"94,057",fourth
1972,"91,555",fourth
1971,"86,870",fourth
1970,"87,461",fourth
1969,"87,006",fourth
1968,"82,962",fourth
1967,"80,453",fourth
2020,"273,739",top5
2019,"273,373",top5
2018,"256,396",top5
2017,"250,297",top5
2016,"242,970",top5
2015,"234,316",top5
2014,"226,080",top5
2013,"223,227",top5
2012,"215,907",top5
2011,"214,533",top5
2010,"214,734",top5
2009,"217,692",top5
2008,"216,933",top5
2007,"221,511",top5
2006,"223,948",top5
2005,"220,562",top5
2004,"215,879",top5
2003,"217,434",top5
2002,"216,430",top5
2001,"220,570",top5
2000,"218,892",top5
1999,"221,302",top5
1998,"210,414",top5
1997,"204,151",top5
1996,"197,011",top5
1995,"191,192",top5
1994,"190,290",top5
1993,"185,097",top5
1992,"179,574",top5
1991,"179,170",top5
1990,"182,506",top5
1989,"185,446",top5
1988,"180,664",top5
1987,"176,891",top5
1986,"174,335",top5
1985,"165,648",top5
1984,"162,998",top5
1983,"157,388",top5
1982,"155,287",top5
1981,"151,274",top5
1980,"151,943",top5
1979,"156,282",top5
1978,"153,557",top5
1977,"148,266",top5
1976,"145,180",top5
1975,"140,939",top5
1974,"145,264",top5
1973,"151,175",top5
1972,"147,347",top5
1971,"137,952",top5
1970,"138,252",top5
1969,"136,456",top5
1968,"129,791",top5
1967,"129,105",top5
2020,,
2019,,
2018,,
2017,,
2016,,
2015,,
2014,,
2013,,
2012,,
2011,,
2010,,
2009,,
2008,,
2007,,
2006,,
2005,,
2004,,
2003,,
2002,,
2001,,
2000,,
1999,,
1998,,
1997,,
1996,,
1995,,
1994,,
1993,,
1992,,
1991,,
1990,,
1989,,
1988,,
1987,,
1986,,
1985,,
1984,,
1983,,
1982,,
1981,,
1980,,
1979,,
1978,,
1977,,
1976,,
1975,,
1974,,
1973,,
1972,,
1971,,
1970,,
1969,,
1968,,
1967,,
